date,ultrasonic_distance_cm,ir_sensor_triggered,load_cell_weight_kg,status
2025-05-02,41.92,0,5.09,Low
2025-05-02,8.75,1,20.24,Full
2025-05-02,3.74,1,18.37,Full
2025-05-02,40.4,0,4.05,Low
2025-05-02,1.37,1,19.27,Full
2025-05-02,6.42,1,18.75,Full
2025-05-02,4.75,1,20.07,Full
2025-05-02,4.6,1,18.69,Full
2025-05-02,4.93,1,16.63,Full
2025-05-02,52.0,0,0.14,Empty
2025-05-02,47.59,0,0.42,Empty
2025-05-02,43.84,0,4.8,Low
2025-05-02,8.43,1,20.19,Full
2025-05-02,45.69,0,0.01,Empty
2025-05-02,6.6,1,16.34,Full
2025-05-02,46.8,0,0.36,Empty
2025-05-02,43.56,0,2.29,Low
2025-05-02,47.66,0,0.04,Empty
2025-05-02,40.28,0,0.72,Low
2025-05-02,43.01,0,5.56,Low
2025-05-02,5.37,1,17.3,Full
2025-05-02,6.44,1,17.4,Full
2025-05-02,43.32,0,2.12,Low
2025-05-02,48.97,0,0.19,Empty
2025-05-02,38.95,0,4.14,Low
2025-05-02,39.23,0,4.52,Low
2025-05-02,47.53,0,0.24,Empty
2025-05-02,40.94,0,4.65,Low
2025-05-02,2.07,1,20.01,Full
2025-05-02,38.61,0,2.38,Low
2025-05-02,43.06,0,5.13,Low
2025-05-02,50.6,0,0.37,Empty
2025-05-02,6.86,1,18.28,Full
2025-05-02,2.09,1,21.0,Full
2025-05-02,43.64,0,4.64,Low
2025-05-02,41.36,0,0.72,Low
2025-05-02,2.67,1,16.39,Full
2025-05-02,41.81,0,2.54,Low
2025-05-02,5.83,1,18.76,Full
2025-05-02,2.28,1,19.77,Full
2025-05-02,43.1,0,2.41,Low
2025-05-02,3.57,1,18.21,Full
2025-05-02,5.08,1,18.34,Full
2025-05-02,43.56,0,3.55,Low
2025-05-02,5.4,1,17.98,Full
2025-05-02,38.69,0,2.29,Low
2025-05-02,40.05,0,3.92,Low
2025-05-02,7.32,1,17.42,Full
2025-05-02,44.77,0,0.09,Empty
